"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-yale1246-1-one-1","numerals-yale1246-1","Chan2019","one",1,"d͡ʒo.a","dzoa","","false",NA,NA,NA
"2","numerals-yale1246-1-two-1","numerals-yale1246-1","Chan2019","two",2,"te.ɹɛ","tere","","false",NA,NA,NA
"3","numerals-yale1246-1-three-1","numerals-yale1246-1","Chan2019","three",3,"ao.na","aona","","false",NA,NA,NA
"4","numerals-yale1246-1-four-1","numerals-yale1246-1","Chan2019","four",4,"ni.ɹi.na","nirina","","false",NA,NA,NA
"5","numerals-yale1246-1-five-1","numerals-yale1246-1","Chan2019","five",5,"to.ba.ɹi","tobari","(''to.ba''=''hand'' )","false",NA,NA,NA
"6","numerals-yale1246-1-six-1","numerals-yale1246-1","Chan2019","six",6,"to.ba.ɹi i.ta d͡ʒo.a","tobariitadzoa","( 5 + 1 )","false",NA,NA,NA
"7","numerals-yale1246-1-seven-1","numerals-yale1246-1","Chan2019","seven",7,"to.ba.ɹi i.ta te.ɹɛ","tobariitatere","( 5 + 2 )","false",NA,NA,NA
"8","numerals-yale1246-1-eight-1","numerals-yale1246-1","Chan2019","eight",8,"to.ba.ɹi i.ta ao.na","tobariitaaona","( 5 + 3 )","false",NA,NA,NA
"9","numerals-yale1246-1-nine-1","numerals-yale1246-1","Chan2019","nine",9,"to.ba.ɹi i.ta ni.ɹi.na","tobariitanirina","( 5 + 4 )","false",NA,NA,NA
"10","numerals-yale1246-1-ten-1","numerals-yale1246-1","Chan2019","ten",10,"uɛ","ue","","false",NA,NA,NA
"11","numerals-yale1246-1-ten-2","numerals-yale1246-1","Chan2019","ten",10,"d͡ʒo.a aɸɛ uɛ","dzoaafeue","","false",NA,NA,NA
"12","numerals-yale1246-1-eleven-1","numerals-yale1246-1","Chan2019","eleven",11,"d͡ʒo.a a.ɸɛ uɛ i.ta d͡ʒo.a","dzoaafeueitadzoa","","false",NA,NA,NA
"13","numerals-yale1246-1-twelve-1","numerals-yale1246-1","Chan2019","twelve",12,"d͡ʒo.a a.ɸɛ uɛ i.ta te.ɹɛ","dzoaafeueitatere","","false",NA,NA,NA
"14","numerals-yale1246-1-thirteen-1","numerals-yale1246-1","Chan2019","thirteen",13,"d͡ʒo.a a.ɸɛ uɛ i.ta ao.na","dzoaafeueitaaona","","false",NA,NA,NA
"15","numerals-yale1246-1-fourteen-1","numerals-yale1246-1","Chan2019","fourteen",14,"d͡ʒo.a a.ɸɛ uɛ i.ta ni.ɹi.na","dzoaafeueitanirina","","false",NA,NA,NA
"16","numerals-yale1246-1-fifteen-1","numerals-yale1246-1","Chan2019","fifteen",15,"d͡ʒo.a a.ɸɛ uɛ i.ta to.ba.ɹi","dzoaafeueitatobari","","false",NA,NA,NA
"17","numerals-yale1246-1-sixteen-1","numerals-yale1246-1","Chan2019","sixteen",16,"d͡ʒo.a a.ɸɛ uɛ i.ta to.ba.ɹi i.ta d͡ʒo.a","dzoaafeueitatobariitadzoa","","false",NA,NA,NA
"18","numerals-yale1246-1-seventeen-1","numerals-yale1246-1","Chan2019","seventeen",17,"d͡ʒo.a a.ɸɛ uɛ i.ta to.ba.ɹi i.ta te.ɹɛ","dzoaafeueitatobariitatere","","false",NA,NA,NA
"19","numerals-yale1246-1-eighteen-1","numerals-yale1246-1","Chan2019","eighteen",18,"d͡ʒo.a a.ɸɛ uɛ i.ta to.ba.ɹi i.ta ao.na","dzoaafeueitatobariitaaona","","false",NA,NA,NA
"20","numerals-yale1246-1-nineteen-1","numerals-yale1246-1","Chan2019","nineteen",19,"d͡ʒo.a a.ɸɛ uɛ i.ta to.ba.ɹi i.ta ni.ɹi.na","dzoaafeueitatobariitanirina","","false",NA,NA,NA
"21","numerals-yale1246-1-twenty-1","numerals-yale1246-1","Chan2019","twenty",20,"te.ɹɛ a.ɸɛ uɛ","tereafeue","","false",NA,NA,NA
"22","numerals-yale1246-1-twentyone-1","numerals-yale1246-1","Chan2019","twentyone",21,"te.ɹɛ a.ɸɛ uɛ i.ta d͡ʒo.a","tereafeueitadzoa","","false",NA,NA,NA
"23","numerals-yale1246-1-twentytwo-1","numerals-yale1246-1","Chan2019","twentytwo",22,"te.ɹɛ a.ɸɛ uɛ i.ta te.ɹɛ","tereafeueitatere","","false",NA,NA,NA
"24","numerals-yale1246-1-twentythree-1","numerals-yale1246-1","Chan2019","twentythree",23,"te.ɹɛ a.ɸɛ uɛ i.ta ao.na","tereafeueitaaona","","false",NA,NA,NA
"25","numerals-yale1246-1-twentyfour-1","numerals-yale1246-1","Chan2019","twentyfour",24,"te.ɹɛ a.ɸɛ uɛ i.ta ni.ɹi.na","tereafeueitanirina","","false",NA,NA,NA
"26","numerals-yale1246-1-twentyfive-1","numerals-yale1246-1","Chan2019","twentyfive",25,"te.ɹɛ a.ɸɛ uɛ i.ta to.ba.ɹi","tereafeueitatobari","","false",NA,NA,NA
"27","numerals-yale1246-1-twentysix-1","numerals-yale1246-1","Chan2019","twentysix",26,"te.ɹɛ a.ɸɛ uɛ i.ta to.ba.ɹi i.ta d͡ʒo.a","tereafeueitatobariitadzoa","","false",NA,NA,NA
"28","numerals-yale1246-1-twentyseven-1","numerals-yale1246-1","Chan2019","twentyseven",27,"te.ɹɛ a.ɸɛ uɛ i.ta to.ba.ɹi i.ta te.ɹɛ","tereafeueitatobariitatere","","false",NA,NA,NA
"29","numerals-yale1246-1-twentyeight-1","numerals-yale1246-1","Chan2019","twentyeight",28,"te.ɹɛ a.ɸɛ uɛ i.ta to.ba.ɹi i.ta ao.na","tereafeueitatobariitaaona","","false",NA,NA,NA
"30","numerals-yale1246-1-twentynine-1","numerals-yale1246-1","Chan2019","twentynine",29,"te.ɹɛ a.ɸɛ uɛ i.ta to.ba.ɹi i.ta ni.ɹi.na","tereafeueitatobariitanirina","","false",NA,NA,NA
"31","numerals-yale1246-1-thirty-1","numerals-yale1246-1","Chan2019","thirty",30,"ao.na a.ɸɛ uɛ","aonaafeue","","false",NA,NA,NA
"32","numerals-yale1246-1-forty-1","numerals-yale1246-1","Chan2019","forty",40,"ni.ɹi.na a.ɸɛ uɛ","nirinaafeue","","false",NA,NA,NA
"33","numerals-yale1246-1-fifty-1","numerals-yale1246-1","Chan2019","fifty",50,"to.ba.ɹi a.ɸɛ uɛ","tobariafeue","","false",NA,NA,NA
"34","numerals-yale1246-1-sixty-1","numerals-yale1246-1","Chan2019","sixty",60,"to.ba.ɹi i.ta d͡ʒo.a a.ɸɛ uɛ","tobariitadzoaafeue","","false",NA,NA,NA
